inputOrder,owner,canonicalKey,aliases,group,requirement,status,valueClass,ownerInputReason,secret,safeDefaultAvailable,required,validationHttps,validationNonLocal,validationMinLength,validationExpectedValues,collectionGuidance
17,platform-owners,AI_SERVICE_BASE_URL,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL",owner-services,ai service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
18,platform-owners,AUTH_SERVICE_BASE_URL,"AUTH_SERVICE_BASE_URL;LUMIRA_AUTH_SERVICE_BASE_URL",owner-services,auth service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
19,platform-owners,FILE_SERVICE_BASE_URL,"FILE_SERVICE_BASE_URL;LUMIRA_FILE_SERVICE_BASE_URL",owner-services,file service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
20,platform-owners,JOB_EXECUTOR_BASE_URL,"JOB_EXECUTOR_BASE_URL;LUMIRA_JOB_EXECUTOR_BASE_URL",owner-services,job executor,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
21,platform-owners,LOCALIZATION_SERVICE_BASE_URL,"LOCALIZATION_SERVICE_BASE_URL;LUMIRA_LOCALIZATION_SERVICE_BASE_URL",owner-services,localization service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
22,platform-owners,MESSAGE_SERVICE_BASE_URL,"MESSAGE_SERVICE_BASE_URL;LUMIRA_MESSAGE_SERVICE_BASE_URL",owner-services,message service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
23,platform-owners,PAYMENT_SERVICE_BASE_URL,"PAYMENT_SERVICE_BASE_URL;LUMIRA_PAYMENT_SERVICE_BASE_URL",owner-services,payment service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
24,platform-owners,PLUGIN_SERVICE_BASE_URL,"PLUGIN_SERVICE_BASE_URL;LUMIRA_PLUGIN_SERVICE_BASE_URL",owner-services,plugin service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
25,platform-owners,SYSTEM_SERVICE_BASE_URL,"SYSTEM_SERVICE_BASE_URL;LUMIRA_SYSTEM_SERVICE_BASE_URL",owner-services,system service,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
26,release-infra,LUMIRA_BASE_URL,"LUMIRA_BASE_URL;DEPLOY_CHECK_BASE_URL",runtime,backend base url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
27,release-infra,CORS_ALLOWED_ORIGIN_PATTERNS,"CORS_ALLOWED_ORIGIN_PATTERNS;SAAS_WEB_CORS_ALLOWED_ORIGIN_PATTERNS",runtime,cors origins,PLACEHOLDER,identifier,owner-production-value,false,false,true,false,false,,,Collect the production value from the owning release context.
28,release-infra,DB_PASSWORD,"DB_PASSWORD;SPRING_DATASOURCE_PASSWORD;MYSQL_PASSWORD",runtime,database password,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,16,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
29,release-infra,DB_URL,"DB_URL;SPRING_DATASOURCE_URL",runtime,database url,PLACEHOLDER,url,production-endpoint,false,false,true,false,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
30,release-infra,DB_USERNAME,"DB_USERNAME;SPRING_DATASOURCE_USERNAME;MYSQL_USER",runtime,database username,PLACEHOLDER,identifier,owner-production-value,false,false,true,false,false,,,Collect the production value from the owning release context.
31,release-infra,FIELD_SECRET,"FIELD_SECRET;SAAS_SECURITY_FIELD_SECRET",runtime,field secret,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,32,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
32,release-infra,PLAYWRIGHT_BASE_URL,"PLAYWRIGHT_BASE_URL;FRONTEND_BASE_URL",runtime,frontend base url,PLACEHOLDER,url,production-endpoint,false,false,true,true,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
33,release-infra,JWT_SECRET,"JWT_SECRET;SAAS_SECURITY_JWT_SECRET",runtime,jwt secret,PLACEHOLDER,secret,secret-manager,true,false,true,false,false,32,,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
34,release-infra,REDIS_HOST,"REDIS_HOST;SPRING_DATA_REDIS_HOST",runtime,redis host,PLACEHOLDER,identifier,production-endpoint,false,false,true,false,true,,,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
