order,priority,source,owner,id,pendingItems,canRunImmediately,dependsOn,commands,envKeys,envCheckGroups,expectedArtifacts,exitCriteria,itemIds
11,P1,rollback,auth-owner,p1-rollback-auth-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Auth
12,P1,rollback,file-owner,p1-rollback-file-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,File
13,P1,rollback,iam-owner,p1-rollback-iam-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,IAM
14,P1,rollback,job-owner,p1-rollback-job-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Job
15,P1,rollback,localization-owner,p1-rollback-localization-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Localization
16,P1,rollback,message-owner,p1-rollback-message-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Message
17,P1,rollback,payment-owner,p1-rollback-payment-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Payment
18,P1,rollback,platform-owner,p1-rollback-platform-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Platform
19,P1,rollback,plugin-owner,p1-rollback-plugin-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance","node scripts/ddd-rollback-deferral-template.mjs;DDD_ROLLBACK_DRILL_CHECK_ENV=true node scripts/ddd-rollback-drill-evidence.mjs;node scripts/ddd-rollback-drill-evidence.mjs","DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT","DDD_EVIDENCE_ENVIRONMENT=DDD_EVIDENCE_ENVIRONMENT;DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;DDD_ROLLBACK_DRILL_CHECK_ENV=DDD_ROLLBACK_DRILL_CHECK_ENV;DDD_ROLLBACK_DRILL_DEFERRAL_FILE=DDD_ROLLBACK_DRILL_DEFERRAL_FILE;DDD_ROLLBACK_DRILL_FILE=DDD_ROLLBACK_DRILL_FILE;DDD_ROLLBACK_DRILL_HANDOFF_FILE=DDD_ROLLBACK_DRILL_HANDOFF_FILE;DDD_ROLLBACK_DRILL_STRICT=DDD_ROLLBACK_DRILL_STRICT",artifacts/ddd/rollback/rollback-drill.json,Each bounded context has PASS rollback drill evidence or approved unexpired DEFERRED risk acceptance.,Plugin
20,P2,explain,database,p2-explain-database,8,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner","node scripts/ddd-collect-explain.mjs;DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs","DDD_EVIDENCE_OPERATOR;DDD_EXPLAIN_DATABASE;DDD_EXPLAIN_DIR;DDD_EXPLAIN_ENVIRONMENT;DDD_EXPLAIN_STRICT;DDD_RELEASE_CANDIDATE;MYSQL_CLI;MYSQL_DATABASE;MYSQL_HOST;MYSQL_PASSWORD;MYSQL_PORT;MYSQL_USER","DDD_EVIDENCE_OPERATOR=DDD_EVIDENCE_OPERATOR;DDD_EXPLAIN_DATABASE=DDD_EXPLAIN_DATABASE;DDD_EXPLAIN_DIR=DDD_EXPLAIN_DIR;DDD_EXPLAIN_ENVIRONMENT=DDD_EXPLAIN_ENVIRONMENT;DDD_EXPLAIN_STRICT=DDD_EXPLAIN_STRICT;DDD_RELEASE_CANDIDATE=DDD_RELEASE_CANDIDATE;MYSQL_CLI=MYSQL_CLI;MYSQL_DATABASE=MYSQL_DATABASE;MYSQL_HOST=MYSQL_HOST;DB_PASSWORD=DB_PASSWORD|MYSQL_PASSWORD|SPRING_DATASOURCE_PASSWORD;MYSQL_PORT=MYSQL_PORT;DB_USERNAME=DB_USERNAME|MYSQL_USER|SPRING_DATASOURCE_USERNAME","tmp/ddd-explain/*.json;artifacts/ddd/release/explain-gate-report.json","Production-equivalent MySQL EXPLAIN artifacts are freshly collected for every required hot path.;Strict explain gate has no full scans, legacy imports, missing indexes, or contract issues.","ai-knowledge-index-retry.json;message-archive-total.json;message-unread-count.json;message-visible-list.json;platform-outbox-owner-relay-file.json;platform-outbox-owner-relay-message.json;platform-runtime-appearance.json;plugin-bootstrap.json"
21,P3,orchestrator,database,p3-orchestrator-database,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","node scripts/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node scripts/ddd-release-evidence-orchestrator.mjs --run --strict","DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED","DDD_MIGRATION_FRESH_DB_EVIDENCE=DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_FRESH_DB_VALIDATED=DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_EVIDENCE=DDD_MIGRATION_UPGRADE_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_VALIDATED=DDD_MIGRATION_UPGRADE_DB_VALIDATED","artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/release-evidence-gate.json;artifacts/ddd/release/readiness-summary.json","Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Final strict release gate and readiness summary report zero blockers.;Run only after all prerequisite evidence batches are clean.",orchestrator-preflight-migration-runtime-evidence
22,P3,orchestrator,frontend,p3-orchestrator-frontend,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","node scripts/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node scripts/ddd-release-evidence-orchestrator.mjs --run --strict","FRONTEND_BASE_URL;PLAYWRIGHT_BASE_URL",PLAYWRIGHT_BASE_URL=FRONTEND_BASE_URL|PLAYWRIGHT_BASE_URL,"artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/release-evidence-gate.json;artifacts/ddd/release/readiness-summary.json","Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Final strict release gate and readiness summary report zero blockers.;Run only after all prerequisite evidence batches are clean.",orchestrator-preflight-frontend-runtime-base-url
23,P3,orchestrator,release-infra,p3-orchestrator-release-infra,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","node scripts/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node scripts/ddd-release-evidence-orchestrator.mjs --run --strict","BASE_URL;DEPLOY_CHECK_BASE_URL;LUMIRA_BASE_URL","BASE_URL=BASE_URL;LUMIRA_BASE_URL=DEPLOY_CHECK_BASE_URL|LUMIRA_BASE_URL","artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/release-evidence-gate.json;artifacts/ddd/release/readiness-summary.json","Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Final strict release gate and readiness summary report zero blockers.;Run only after all prerequisite evidence batches are clean.",orchestrator-preflight-backend-runtime-base-url
24,P3,orchestrator,release-owner,p3-orchestrator-release-owner,1,false,"p0-docker-release-infra;p0-runtime-readiness-release-infra;p0-manifest-release-owner;p0-authenticated-performance-release-performance;p1-ai-runtime-ai;p1-frontend-smoke-frontend;p1-business-e2e-file-owner;p1-business-e2e-job-owner;p1-business-e2e-payment-owner;p1-rollback-ai-owner;p1-rollback-auth-owner;p1-rollback-file-owner;p1-rollback-iam-owner;p1-rollback-job-owner;p1-rollback-localization-owner;p1-rollback-message-owner;p1-rollback-payment-owner;p1-rollback-platform-owner;p1-rollback-plugin-owner;p2-explain-database","node scripts/ddd-release-evidence-orchestrator.mjs;DDD_RELEASE_EVIDENCE_STRICT=true node scripts/ddd-release-evidence-orchestrator.mjs --run --strict",DDD_RELEASE_EVIDENCE_STRICT,DDD_RELEASE_EVIDENCE_STRICT=DDD_RELEASE_EVIDENCE_STRICT,"artifacts/ddd/release/orchestrator-report.json;artifacts/ddd/release/release-evidence-gate.json;artifacts/ddd/release/readiness-summary.json","Rerun release evidence orchestrator in strict run mode after P0/P1/P2 batches are clean.;Final strict release gate and readiness summary report zero blockers.;Run only after all prerequisite evidence batches are clean.",orchestrator-run-mode
