fillOrder,owner,owners,group,requirement,canonicalKey,valueClass,secret,safeToPreFill,fillGuidance,aliasCount,unresolvedAliasCount,aliases,unresolvedAliases,required,https,nonLocal,minLength,expectedValues,pattern,disallowValues,aliasSyncCommand
11,ai-owner,"ai;ai-owner",ai,provider base url,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
12,ai-owner,ai-owner,ai,provider enabled,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_ENABLED,toggle,false,true,Use one of: true.,2,0,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_ENABLED;LUMIRA_AI_PROVIDER_ENABLED",,true,false,false,,true,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
13,file-owner,file-owner,file-processing,ocr mode,LUMIRA_FILE_OCR_MODE,runtime-setting,false,true,Use the production runtime setting agreed by the owning context.,1,0,LUMIRA_FILE_OCR_MODE,,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
14,file-owner,file-owner,file-processing,security scan mode,LUMIRA_FILE_SECURITY_SCAN_MODE,runtime-setting,false,true,Use the production runtime setting agreed by the owning context.,1,0,LUMIRA_FILE_SECURITY_SCAN_MODE,,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
15,file-owner,file-owner,file-processing,upload storage root,UPLOAD_STORAGE_ROOT,runtime-setting,false,true,Use the production runtime setting agreed by the owning context.,2,0,"UPLOAD_STORAGE_ROOT;LUMIRA_UPLOAD_STORAGE_ROOT",,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
16,payment-owner,payment-owner,payment,payment public url,PAYMENT_PUBLIC_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",1,0,PAYMENT_PUBLIC_BASE_URL,,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
17,payment-owner,payment-owner,payment,payment webhook secret,DDD_PAYMENT_WEBHOOK_SECRET,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",3,0,"DDD_PAYMENT_WEBHOOK_SECRET;PAYMENT_WEBHOOK_SECRET;LUMIRA_PAYMENT_WEBHOOK_SECRET",,false,false,false,32,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
18,platform-events,platform-events,jobs-and-events,event stream key,SAAS_EVENT_REDIS_STREAM_KEY,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",2,0,"SAAS_EVENT_REDIS_STREAM_KEY;LUMIRA_EVENT_REDIS_STREAM_KEY",,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
19,platform-events,platform-events,jobs-and-events,job backend url,SAAS_JOB_BACKEND_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
20,platform-events,platform-events,jobs-and-events,job file url,SAAS_JOB_FILE_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
21,platform-events,"file-owner;job-owner;platform-events",jobs-and-events,job internal token,SAAS_JOB_INTERNAL_TOKEN,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",3,0,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN",,true,false,false,32,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
22,platform-events,platform-events,jobs-and-events,job message url,SAAS_JOB_MESSAGE_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
23,platform-events,platform-events,jobs-and-events,job payment url,SAAS_JOB_PAYMENT_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
24,platform-events,platform-events,jobs-and-events,job plugin url,SAAS_JOB_PLUGIN_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
25,platform-events,platform-events,jobs-and-events,outbox dispatcher,SAAS_EVENT_OUTBOX_DISPATCHER,runtime-setting,false,true,Use the production runtime setting agreed by the owning context.,2,0,"SAAS_EVENT_OUTBOX_DISPATCHER;LUMIRA_EVENT_OUTBOX_DISPATCHER",,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
26,platform-events,platform-events,jobs-and-events,xxl job admin,XXL_JOB_ADMIN_ADDRESSES,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
27,platform-events,platform-events,jobs-and-events,xxl job token,XXL_JOB_ACCESS_TOKEN,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",3,0,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN",,true,false,false,32,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
28,platform-owners,"ai;platform-owners",owner-services,ai service,AI_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",3,0,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
29,platform-owners,platform-owners,owner-services,auth service,AUTH_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"AUTH_SERVICE_BASE_URL;LUMIRA_AUTH_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
30,platform-owners,platform-owners,owner-services,file service,FILE_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"FILE_SERVICE_BASE_URL;LUMIRA_FILE_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
31,platform-owners,platform-owners,owner-services,job executor,JOB_EXECUTOR_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"JOB_EXECUTOR_BASE_URL;LUMIRA_JOB_EXECUTOR_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
32,platform-owners,platform-owners,owner-services,localization service,LOCALIZATION_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"LOCALIZATION_SERVICE_BASE_URL;LUMIRA_LOCALIZATION_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
33,platform-owners,platform-owners,owner-services,message service,MESSAGE_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"MESSAGE_SERVICE_BASE_URL;LUMIRA_MESSAGE_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
34,platform-owners,platform-owners,owner-services,payment service,PAYMENT_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"PAYMENT_SERVICE_BASE_URL;LUMIRA_PAYMENT_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
35,platform-owners,platform-owners,owner-services,plugin service,PLUGIN_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"PLUGIN_SERVICE_BASE_URL;LUMIRA_PLUGIN_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
36,platform-owners,platform-owners,owner-services,system service,SYSTEM_SERVICE_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"SYSTEM_SERVICE_BASE_URL;LUMIRA_SYSTEM_SERVICE_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
37,release-infra,"ai;file-owner;job-owner;payment-owner;release-infra",runtime,backend base url,LUMIRA_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"LUMIRA_BASE_URL;DEPLOY_CHECK_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
38,release-infra,release-infra,runtime,cors origins,CORS_ALLOWED_ORIGIN_PATTERNS,identifier,false,false,Use the production value from the owning context.,2,0,"CORS_ALLOWED_ORIGIN_PATTERNS;SAAS_WEB_CORS_ALLOWED_ORIGIN_PATTERNS",,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
39,release-infra,"database;release-infra",runtime,database password,DB_PASSWORD,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",3,0,"DB_PASSWORD;SPRING_DATASOURCE_PASSWORD;MYSQL_PASSWORD",,true,false,false,16,,,"root;password;",DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
40,release-infra,release-infra,runtime,database url,DB_URL,url,false,false,"Use the production-equivalent endpoint or DSN; localhost and placeholders are rejected when nonLocal=true.",2,0,"DB_URL;SPRING_DATASOURCE_URL",,true,false,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
41,release-infra,"database;release-infra",runtime,database username,DB_USERNAME,identifier,false,false,Use the production value from the owning context.,3,0,"DB_USERNAME;SPRING_DATASOURCE_USERNAME;MYSQL_USER",,true,false,false,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
42,release-infra,release-infra,runtime,field secret,FIELD_SECRET,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",2,0,"FIELD_SECRET;SAAS_SECURITY_FIELD_SECRET",,true,false,false,32,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
43,release-infra,"frontend;release-infra",runtime,frontend base url,PLAYWRIGHT_BASE_URL,url,false,false,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected.",2,0,"PLAYWRIGHT_BASE_URL;FRONTEND_BASE_URL",,true,true,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
44,release-infra,release-infra,runtime,jwt secret,JWT_SECRET,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",2,0,"JWT_SECRET;SAAS_SECURITY_JWT_SECRET",,true,false,false,32,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
45,release-infra,release-infra,runtime,redis host,REDIS_HOST,identifier,false,false,Use the production value from the owning context.,2,0,"REDIS_HOST;SPRING_DATA_REDIS_HOST",,true,false,true,,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
46,release-infra,release-infra,runtime,redis password,REDIS_PASSWORD,secret,true,false,"Provide via approved secret manager or secure release channel; never commit.",2,0,"REDIS_PASSWORD;SPRING_DATA_REDIS_PASSWORD",,false,false,false,16,,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
47,release-infra,release-infra,runtime,redis port,REDIS_PORT,port,false,false,Use the production service TCP port.,2,0,"REDIS_PORT;SPRING_DATA_REDIS_PORT",,true,false,false,,,"^\d{2,5}$",,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
48,release-infra,release-infra,runtime,trusted proxy mode,TRUST_FORWARDED_HEADERS,toggle,false,true,Use one of: true.,2,0,"TRUST_FORWARDED_HEADERS;SAAS_WEB_TRUST_FORWARDED_HEADERS",,true,false,false,,true,,,DDD_RELEASE_ENV_FILE=.env.release.local node scripts/ddd-release-env-alias-sync.mjs
