source,pendingItems,owner,id,reason,envKeys,action
explain,6,database,ai-knowledge-index-retry.json,"legacyPlanImport=true; strict release requires fresh production-equivalent EXPLAIN","DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node scripts/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs`."
explain,6,database,message-visible-list.json,"legacyPlanImport=true; strict release requires fresh production-equivalent EXPLAIN","DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node scripts/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs`."
explain,6,database,platform-outbox-owner-relay-file.json,"legacyPlanImport=true; strict release requires fresh production-equivalent EXPLAIN","DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node scripts/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs`."
explain,6,database,platform-outbox-owner-relay-message.json,"legacyPlanImport=true; strict release requires fresh production-equivalent EXPLAIN","DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node scripts/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs`."
explain,6,database,platform-runtime-appearance.json,"legacyPlanImport=true; strict release requires fresh production-equivalent EXPLAIN","DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node scripts/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs`."
explain,6,database,plugin-bootstrap.json,"legacyPlanImport=true; strict release requires fresh production-equivalent EXPLAIN","DDD_EXPLAIN_DIR;DDD_EXPLAIN_STRICT;DDD_EXPLAIN_ENVIRONMENT;DDD_RELEASE_CANDIDATE;DDD_EVIDENCE_OPERATOR;MYSQL_CLI;MYSQL_HOST;MYSQL_PORT;MYSQL_USER;MYSQL_PASSWORD;MYSQL_DATABASE;DDD_EXPLAIN_DATABASE","Run production-equivalent MySQL EXPLAIN collection with `node scripts/ddd-collect-explain.mjs`, then `DDD_EXPLAIN_STRICT=true node scripts/ddd-explain-gate.mjs`."
frontend-smoke,1,frontend,frontend-deployed-expectation,strict release requires deployed frontend smoke expectation,DDD_FRONTEND_EXPECT_DEPLOYED,Set DDD_FRONTEND_EXPECT_DEPLOYED=true for strict deployed frontend smoke evidence.
orchestrator,3,database,orchestrator-preflight-migration-runtime-evidence,"missing migration drill env: DDD_MIGRATION_FRESH_DB_VALIDATED, DDD_MIGRATION_UPGRADE_DB_VALIDATED, DDD_MIGRATION_FRESH_DB_EVIDENCE, DDD_MIGRATION_UPGRADE_DB_EVIDENCE","DDD_MIGRATION_FRESH_DB_VALIDATED;DDD_MIGRATION_UPGRADE_DB_VALIDATED;DDD_MIGRATION_FRESH_DB_EVIDENCE;DDD_MIGRATION_UPGRADE_DB_EVIDENCE","Resolve the orchestrator preflight blocker, then rerun strict release evidence with `node scripts/ddd-release-evidence-orchestrator.mjs`."
orchestrator,3,frontend,orchestrator-preflight-frontend-runtime-base-url,missing deployed frontend base URL,"PLAYWRIGHT_BASE_URL;FRONTEND_BASE_URL","Resolve the orchestrator preflight blocker, then rerun strict release evidence with `node scripts/ddd-release-evidence-orchestrator.mjs`."
orchestrator,3,release-owner,orchestrator-run-mode,"strict release requires run mode report, got plan",DDD_RELEASE_EVIDENCE_STRICT,Run the release evidence orchestrator in strict run mode after preflight blockers are resolved with `node scripts/ddd-release-evidence-orchestrator.mjs`.
release-config,63,ai-owner,file owner url,placeholder value is not allowed,"LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL","Set LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL or LUMIRA_AI_OWNER_FILE_BASE_URL for file owner url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,file owner url,must use HTTPS for production-equivalent evidence,"LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL;LUMIRA_AI_OWNER_FILE_BASE_URL","Set LUMIRA_AI_OWNER_INTEGRATIONS_FILE_BASE_URL or LUMIRA_AI_OWNER_FILE_BASE_URL for file owner url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,iam owner url,placeholder value is not allowed,"LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL","Set LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL or LUMIRA_AI_OWNER_IAM_BASE_URL for iam owner url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,iam owner url,must use HTTPS for production-equivalent evidence,"LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL;LUMIRA_AI_OWNER_IAM_BASE_URL","Set LUMIRA_AI_OWNER_INTEGRATIONS_IAM_BASE_URL or LUMIRA_AI_OWNER_IAM_BASE_URL for iam owner url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,owner internal token,placeholder value is not allowed,"LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN;LUMIRA_AI_OWNER_INTERNAL_TOKEN;SAAS_JOB_INTERNAL_TOKEN","Set LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN or LUMIRA_AI_OWNER_INTERNAL_TOKEN or SAAS_JOB_INTERNAL_TOKEN for owner internal token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,owner internal token,must be at least 32 characters,"LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN;LUMIRA_AI_OWNER_INTERNAL_TOKEN;SAAS_JOB_INTERNAL_TOKEN","Set LUMIRA_AI_OWNER_INTEGRATIONS_INTERNAL_TOKEN or LUMIRA_AI_OWNER_INTERNAL_TOKEN or SAAS_JOB_INTERNAL_TOKEN for owner internal token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,platform owner url,placeholder value is not allowed,"LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL","Set LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL or LUMIRA_AI_OWNER_PLATFORM_BASE_URL for platform owner url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,platform owner url,must use HTTPS for production-equivalent evidence,"LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL;LUMIRA_AI_OWNER_PLATFORM_BASE_URL","Set LUMIRA_AI_OWNER_INTEGRATIONS_PLATFORM_BASE_URL or LUMIRA_AI_OWNER_PLATFORM_BASE_URL for platform owner url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,provider api key,placeholder value is not allowed,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY or LUMIRA_AI_PROVIDER_API_KEY for provider api key in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,provider api key,must be at least 32 characters,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY or LUMIRA_AI_PROVIDER_API_KEY for provider api key in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,provider base url,placeholder value is not allowed,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL or LUMIRA_AI_PROVIDER_BASE_URL for provider base url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,ai-owner,provider base url,must use HTTPS for production-equivalent evidence,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL or LUMIRA_AI_PROVIDER_BASE_URL for provider base url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,payment-owner,payment public url,placeholder value is not allowed,PAYMENT_PUBLIC_BASE_URL,"Set PAYMENT_PUBLIC_BASE_URL for payment public url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,payment-owner,payment public url,must use HTTPS for production-equivalent evidence,PAYMENT_PUBLIC_BASE_URL,"Set PAYMENT_PUBLIC_BASE_URL for payment public url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,event stream key,placeholder value is not allowed,"SAAS_EVENT_REDIS_STREAM_KEY;LUMIRA_EVENT_REDIS_STREAM_KEY","Set SAAS_EVENT_REDIS_STREAM_KEY or LUMIRA_EVENT_REDIS_STREAM_KEY for event stream key in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job backend url,placeholder value is not allowed,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL","Set SAAS_JOB_BACKEND_BASE_URL or LUMIRA_JOB_BACKEND_BASE_URL for job backend url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job backend url,must use HTTPS for production-equivalent evidence,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL","Set SAAS_JOB_BACKEND_BASE_URL or LUMIRA_JOB_BACKEND_BASE_URL for job backend url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job file url,placeholder value is not allowed,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL","Set SAAS_JOB_FILE_SERVICE_BASE_URL or LUMIRA_JOB_FILE_SERVICE_BASE_URL for job file url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job file url,must use HTTPS for production-equivalent evidence,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL","Set SAAS_JOB_FILE_SERVICE_BASE_URL or LUMIRA_JOB_FILE_SERVICE_BASE_URL for job file url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job internal token,placeholder value is not allowed,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN","Set SAAS_JOB_INTERNAL_TOKEN or DDD_JOB_INTERNAL_TOKEN or LUMIRA_JOB_INTERNAL_TOKEN for job internal token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job internal token,must be at least 32 characters,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN","Set SAAS_JOB_INTERNAL_TOKEN or DDD_JOB_INTERNAL_TOKEN or LUMIRA_JOB_INTERNAL_TOKEN for job internal token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job message url,placeholder value is not allowed,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL","Set SAAS_JOB_MESSAGE_SERVICE_BASE_URL or LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL for job message url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job message url,must use HTTPS for production-equivalent evidence,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL","Set SAAS_JOB_MESSAGE_SERVICE_BASE_URL or LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL for job message url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job payment url,placeholder value is not allowed,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL","Set SAAS_JOB_PAYMENT_SERVICE_BASE_URL or LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL for job payment url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job payment url,must use HTTPS for production-equivalent evidence,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL","Set SAAS_JOB_PAYMENT_SERVICE_BASE_URL or LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL for job payment url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job plugin url,placeholder value is not allowed,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL","Set SAAS_JOB_PLUGIN_SERVICE_BASE_URL or LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL for job plugin url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,job plugin url,must use HTTPS for production-equivalent evidence,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL","Set SAAS_JOB_PLUGIN_SERVICE_BASE_URL or LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL for job plugin url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,xxl job admin,placeholder value is not allowed,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES","Set XXL_JOB_ADMIN_ADDRESSES or LUMIRA_XXL_JOB_ADMIN_ADDRESSES for xxl job admin in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,xxl job admin,must use HTTPS for production-equivalent evidence,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES","Set XXL_JOB_ADMIN_ADDRESSES or LUMIRA_XXL_JOB_ADMIN_ADDRESSES for xxl job admin in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,xxl job token,placeholder value is not allowed,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN","Set XXL_JOB_ACCESS_TOKEN or XXL_JOB_ADMIN_ACCESS_TOKEN or LUMIRA_XXL_JOB_ACCESS_TOKEN for xxl job token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-events,xxl job token,must be at least 32 characters,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN","Set XXL_JOB_ACCESS_TOKEN or XXL_JOB_ADMIN_ACCESS_TOKEN or LUMIRA_XXL_JOB_ACCESS_TOKEN for xxl job token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-owners,ai service,placeholder value is not allowed,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL","Set AI_SERVICE_BASE_URL or LUMIRA_AI_SERVICE_BASE_URL or LUMIRA_AI_BASE_URL for ai service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-owners,ai service,must use HTTPS for production-equivalent evidence,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL","Set AI_SERVICE_BASE_URL or LUMIRA_AI_SERVICE_BASE_URL or LUMIRA_AI_BASE_URL for ai service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
release-config,63,platform-owners,auth service,placeholder value is not allowed,"AUTH_SERVICE_BASE_URL;LUMIRA_AUTH_SERVICE_BASE_URL","Set AUTH_SERVICE_BASE_URL or LUMIRA_AUTH_SERVICE_BASE_URL for auth service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
