fillOrder,owner,owners,group,requirement,canonicalKey,status,required,secret,valueClass,safeToPreFill,safeDefaultAvailable,requiresOwnerInput,ownerInputReason,blocker,aliases,https,nonLocal,minLength,expectedValues,pattern,disallowValues,fillGuidance
11,ai-owner,"ai;ai-owner;release-infra",ai,provider base url,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
12,ai-owner,ai-owner,ai,provider enabled,LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_ENABLED,FILLED_REDACTED,true,false,toggle,true,false,false,not-blocking,false,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_ENABLED;LUMIRA_AI_PROVIDER_ENABLED",false,false,,true,,,Use one of: true.
13,file-owner,file-owner,file-processing,ocr mode,LUMIRA_FILE_OCR_MODE,FILLED_REDACTED,true,false,runtime-setting,true,false,false,not-blocking,false,LUMIRA_FILE_OCR_MODE,false,false,,,,,Use the production runtime setting agreed by the owning context.
14,file-owner,file-owner,file-processing,security scan mode,LUMIRA_FILE_SECURITY_SCAN_MODE,FILLED_REDACTED,true,false,runtime-setting,true,false,false,not-blocking,false,LUMIRA_FILE_SECURITY_SCAN_MODE,false,false,,,,,Use the production runtime setting agreed by the owning context.
15,file-owner,file-owner,file-processing,upload storage root,UPLOAD_STORAGE_ROOT,FILLED_REDACTED,true,false,runtime-setting,true,false,false,not-blocking,false,"UPLOAD_STORAGE_ROOT;LUMIRA_UPLOAD_STORAGE_ROOT",false,false,,,,,Use the production runtime setting agreed by the owning context.
16,payment-owner,"payment-owner;release-infra",payment,payment public url,PAYMENT_PUBLIC_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,PAYMENT_PUBLIC_BASE_URL,true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
17,payment-owner,payment-owner,payment,payment webhook secret,DDD_PAYMENT_WEBHOOK_SECRET,OPTIONAL_EMPTY,false,true,secret,false,false,false,not-blocking,false,"DDD_PAYMENT_WEBHOOK_SECRET;PAYMENT_WEBHOOK_SECRET;LUMIRA_PAYMENT_WEBHOOK_SECRET",false,false,32,,,,"Provide via approved secret manager or secure release channel; never commit."
18,platform-events,"platform-events;release-infra",jobs-and-events,event stream key,SAAS_EVENT_REDIS_STREAM_KEY,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"SAAS_EVENT_REDIS_STREAM_KEY;LUMIRA_EVENT_REDIS_STREAM_KEY",false,false,,,,,"Provide via approved secret manager or secure release channel; never commit."
19,platform-events,"platform-events;release-infra",jobs-and-events,job backend url,SAAS_JOB_BACKEND_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
20,platform-events,"platform-events;release-infra",jobs-and-events,job file url,SAAS_JOB_FILE_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
21,platform-events,"ai-owner;file-owner;job-owner;platform-events;release-infra",jobs-and-events,job internal token,SAAS_JOB_INTERNAL_TOKEN,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN",false,false,32,,,,"Provide via approved secret manager or secure release channel; never commit."
22,platform-events,"platform-events;release-infra",jobs-and-events,job message url,SAAS_JOB_MESSAGE_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
23,platform-events,"platform-events;release-infra",jobs-and-events,job payment url,SAAS_JOB_PAYMENT_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
24,platform-events,"platform-events;release-infra",jobs-and-events,job plugin url,SAAS_JOB_PLUGIN_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
25,platform-events,platform-events,jobs-and-events,outbox dispatcher,SAAS_EVENT_OUTBOX_DISPATCHER,FILLED_REDACTED,true,false,runtime-setting,true,false,false,not-blocking,false,"SAAS_EVENT_OUTBOX_DISPATCHER;LUMIRA_EVENT_OUTBOX_DISPATCHER",false,false,,,,,Use the production runtime setting agreed by the owning context.
26,platform-events,"platform-events;release-infra",jobs-and-events,xxl job admin,XXL_JOB_ADMIN_ADDRESSES,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
27,platform-events,"platform-events;release-infra",jobs-and-events,xxl job token,XXL_JOB_ACCESS_TOKEN,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN",false,false,32,,,,"Provide via approved secret manager or secure release channel; never commit."
28,platform-owners,"ai;platform-owners;release-infra",owner-services,ai service,AI_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
29,platform-owners,"platform-owners;release-infra",owner-services,auth service,AUTH_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"AUTH_SERVICE_BASE_URL;LUMIRA_AUTH_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
30,platform-owners,"platform-owners;release-infra",owner-services,file service,FILE_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"FILE_SERVICE_BASE_URL;LUMIRA_FILE_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
31,platform-owners,"platform-owners;release-infra",owner-services,job executor,JOB_EXECUTOR_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"JOB_EXECUTOR_BASE_URL;LUMIRA_JOB_EXECUTOR_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
32,platform-owners,"platform-owners;release-infra",owner-services,localization service,LOCALIZATION_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"LOCALIZATION_SERVICE_BASE_URL;LUMIRA_LOCALIZATION_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
33,platform-owners,"platform-owners;release-infra",owner-services,message service,MESSAGE_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"MESSAGE_SERVICE_BASE_URL;LUMIRA_MESSAGE_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
34,platform-owners,"platform-owners;release-infra",owner-services,payment service,PAYMENT_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"PAYMENT_SERVICE_BASE_URL;LUMIRA_PAYMENT_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
35,platform-owners,"platform-owners;release-infra",owner-services,plugin service,PLUGIN_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"PLUGIN_SERVICE_BASE_URL;LUMIRA_PLUGIN_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
36,platform-owners,"platform-owners;release-infra",owner-services,system service,SYSTEM_SERVICE_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"SYSTEM_SERVICE_BASE_URL;LUMIRA_SYSTEM_SERVICE_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
37,release-infra,"ai;file-owner;job-owner;payment-owner;release-infra",runtime,backend base url,LUMIRA_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"LUMIRA_BASE_URL;DEPLOY_CHECK_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
38,release-infra,release-infra,runtime,cors origins,CORS_ALLOWED_ORIGIN_PATTERNS,PLACEHOLDER,true,false,identifier,false,false,true,owner-production-value,true,"CORS_ALLOWED_ORIGIN_PATTERNS;SAAS_WEB_CORS_ALLOWED_ORIGIN_PATTERNS",false,false,,,,,Use the production value from the owning context.
39,release-infra,"database;release-infra",runtime,database password,DB_PASSWORD,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"DB_PASSWORD;SPRING_DATASOURCE_PASSWORD;MYSQL_PASSWORD",false,false,16,,,"root;password;","Provide via approved secret manager or secure release channel; never commit."
40,release-infra,release-infra,runtime,database url,DB_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"DB_URL;SPRING_DATASOURCE_URL",false,true,,,,,"Use the production-equivalent endpoint or DSN; localhost and placeholders are rejected when nonLocal=true."
41,release-infra,"database;release-infra",runtime,database username,DB_USERNAME,PLACEHOLDER,true,false,identifier,false,false,true,owner-production-value,true,"DB_USERNAME;SPRING_DATASOURCE_USERNAME;MYSQL_USER",false,false,,,,,Use the production value from the owning context.
42,release-infra,release-infra,runtime,field secret,FIELD_SECRET,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"FIELD_SECRET;SAAS_SECURITY_FIELD_SECRET",false,false,32,,,,"Provide via approved secret manager or secure release channel; never commit."
43,release-infra,"frontend;release-infra",runtime,frontend base url,PLAYWRIGHT_BASE_URL,PLACEHOLDER,true,false,url,false,false,true,production-endpoint,true,"PLAYWRIGHT_BASE_URL;FRONTEND_BASE_URL",true,true,,,,,"Use the production-equivalent HTTPS endpoint; localhost, example, and test domains are rejected."
44,release-infra,release-infra,runtime,jwt secret,JWT_SECRET,PLACEHOLDER,true,true,secret,false,false,true,secret-manager,true,"JWT_SECRET;SAAS_SECURITY_JWT_SECRET",false,false,32,,,,"Provide via approved secret manager or secure release channel; never commit."
45,release-infra,release-infra,runtime,redis host,REDIS_HOST,PLACEHOLDER,true,false,identifier,false,false,true,production-endpoint,true,"REDIS_HOST;SPRING_DATA_REDIS_HOST",false,true,,,,,Use the production value from the owning context.
46,release-infra,release-infra,runtime,redis password,REDIS_PASSWORD,OPTIONAL_EMPTY,false,true,secret,false,false,false,not-blocking,false,"REDIS_PASSWORD;SPRING_DATA_REDIS_PASSWORD",false,false,16,,,,"Provide via approved secret manager or secure release channel; never commit."
47,release-infra,release-infra,runtime,redis port,REDIS_PORT,FILLED_REDACTED,true,false,port,false,false,false,not-blocking,false,"REDIS_PORT;SPRING_DATA_REDIS_PORT",false,false,,,"^\d{2,5}$",,Use the production service TCP port.
48,release-infra,release-infra,runtime,trusted proxy mode,TRUST_FORWARDED_HEADERS,FILLED_REDACTED,true,false,toggle,true,false,false,not-blocking,false,"TRUST_FORWARDED_HEADERS;SAAS_WEB_TRUST_FORWARDED_HEADERS",false,false,,true,,,Use one of: true.
