priority,source,owner,id,check,reason,detail,structured,envKeys,action
P0,release-config,ai-owner,provider api key,provider api key,placeholder value is not allowed,placeholder value is not allowed,false,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY or LUMIRA_AI_PROVIDER_API_KEY for provider api key in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,ai-owner,provider api key,provider api key,must be at least 32 characters,must be at least 32 characters,false,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY;LUMIRA_AI_PROVIDER_API_KEY","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_API_KEY or LUMIRA_AI_PROVIDER_API_KEY for provider api key in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,ai-owner,provider base url,provider base url,placeholder value is not allowed,placeholder value is not allowed,false,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL or LUMIRA_AI_PROVIDER_BASE_URL for provider base url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,ai-owner,provider base url,provider base url,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL;LUMIRA_AI_PROVIDER_BASE_URL","Set LUMIRA_AI_PROVIDER_OPENAI_COMPATIBLE_BASE_URL or LUMIRA_AI_PROVIDER_BASE_URL for provider base url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,payment-owner,payment public url,payment public url,placeholder value is not allowed,placeholder value is not allowed,false,PAYMENT_PUBLIC_BASE_URL,"Set PAYMENT_PUBLIC_BASE_URL for payment public url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,payment-owner,payment public url,payment public url,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,PAYMENT_PUBLIC_BASE_URL,"Set PAYMENT_PUBLIC_BASE_URL for payment public url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,event stream key,event stream key,placeholder value is not allowed,placeholder value is not allowed,false,"SAAS_EVENT_REDIS_STREAM_KEY;LUMIRA_EVENT_REDIS_STREAM_KEY","Set SAAS_EVENT_REDIS_STREAM_KEY or LUMIRA_EVENT_REDIS_STREAM_KEY for event stream key in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job backend url,job backend url,placeholder value is not allowed,placeholder value is not allowed,false,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL","Set SAAS_JOB_BACKEND_BASE_URL or LUMIRA_JOB_BACKEND_BASE_URL for job backend url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job backend url,job backend url,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"SAAS_JOB_BACKEND_BASE_URL;LUMIRA_JOB_BACKEND_BASE_URL","Set SAAS_JOB_BACKEND_BASE_URL or LUMIRA_JOB_BACKEND_BASE_URL for job backend url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job file url,job file url,placeholder value is not allowed,placeholder value is not allowed,false,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL","Set SAAS_JOB_FILE_SERVICE_BASE_URL or LUMIRA_JOB_FILE_SERVICE_BASE_URL for job file url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job file url,job file url,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"SAAS_JOB_FILE_SERVICE_BASE_URL;LUMIRA_JOB_FILE_SERVICE_BASE_URL","Set SAAS_JOB_FILE_SERVICE_BASE_URL or LUMIRA_JOB_FILE_SERVICE_BASE_URL for job file url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job internal token,job internal token,placeholder value is not allowed,placeholder value is not allowed,false,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN","Set SAAS_JOB_INTERNAL_TOKEN or DDD_JOB_INTERNAL_TOKEN or LUMIRA_JOB_INTERNAL_TOKEN for job internal token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job internal token,job internal token,must be at least 32 characters,must be at least 32 characters,false,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN","Set SAAS_JOB_INTERNAL_TOKEN or DDD_JOB_INTERNAL_TOKEN or LUMIRA_JOB_INTERNAL_TOKEN for job internal token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job message url,job message url,placeholder value is not allowed,placeholder value is not allowed,false,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL","Set SAAS_JOB_MESSAGE_SERVICE_BASE_URL or LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL for job message url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job message url,job message url,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL","Set SAAS_JOB_MESSAGE_SERVICE_BASE_URL or LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL for job message url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job payment url,job payment url,placeholder value is not allowed,placeholder value is not allowed,false,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL","Set SAAS_JOB_PAYMENT_SERVICE_BASE_URL or LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL for job payment url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job payment url,job payment url,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL","Set SAAS_JOB_PAYMENT_SERVICE_BASE_URL or LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL for job payment url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job plugin url,job plugin url,placeholder value is not allowed,placeholder value is not allowed,false,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL","Set SAAS_JOB_PLUGIN_SERVICE_BASE_URL or LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL for job plugin url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,job plugin url,job plugin url,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL","Set SAAS_JOB_PLUGIN_SERVICE_BASE_URL or LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL for job plugin url in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,xxl job admin,xxl job admin,placeholder value is not allowed,placeholder value is not allowed,false,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES","Set XXL_JOB_ADMIN_ADDRESSES or LUMIRA_XXL_JOB_ADMIN_ADDRESSES for xxl job admin in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,xxl job admin,xxl job admin,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES","Set XXL_JOB_ADMIN_ADDRESSES or LUMIRA_XXL_JOB_ADMIN_ADDRESSES for xxl job admin in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,xxl job token,xxl job token,placeholder value is not allowed,placeholder value is not allowed,false,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN","Set XXL_JOB_ACCESS_TOKEN or XXL_JOB_ADMIN_ACCESS_TOKEN or LUMIRA_XXL_JOB_ACCESS_TOKEN for xxl job token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-events,xxl job token,xxl job token,must be at least 32 characters,must be at least 32 characters,false,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN","Set XXL_JOB_ACCESS_TOKEN or XXL_JOB_ADMIN_ACCESS_TOKEN or LUMIRA_XXL_JOB_ACCESS_TOKEN for xxl job token in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,ai service,ai service,placeholder value is not allowed,placeholder value is not allowed,false,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL","Set AI_SERVICE_BASE_URL or LUMIRA_AI_SERVICE_BASE_URL or LUMIRA_AI_BASE_URL for ai service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,ai service,ai service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL","Set AI_SERVICE_BASE_URL or LUMIRA_AI_SERVICE_BASE_URL or LUMIRA_AI_BASE_URL for ai service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,auth service,auth service,placeholder value is not allowed,placeholder value is not allowed,false,"AUTH_SERVICE_BASE_URL;LUMIRA_AUTH_SERVICE_BASE_URL","Set AUTH_SERVICE_BASE_URL or LUMIRA_AUTH_SERVICE_BASE_URL for auth service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,auth service,auth service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"AUTH_SERVICE_BASE_URL;LUMIRA_AUTH_SERVICE_BASE_URL","Set AUTH_SERVICE_BASE_URL or LUMIRA_AUTH_SERVICE_BASE_URL for auth service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,file service,file service,placeholder value is not allowed,placeholder value is not allowed,false,"FILE_SERVICE_BASE_URL;LUMIRA_FILE_SERVICE_BASE_URL","Set FILE_SERVICE_BASE_URL or LUMIRA_FILE_SERVICE_BASE_URL for file service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,file service,file service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"FILE_SERVICE_BASE_URL;LUMIRA_FILE_SERVICE_BASE_URL","Set FILE_SERVICE_BASE_URL or LUMIRA_FILE_SERVICE_BASE_URL for file service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,job executor,job executor,placeholder value is not allowed,placeholder value is not allowed,false,"JOB_EXECUTOR_BASE_URL;LUMIRA_JOB_EXECUTOR_BASE_URL","Set JOB_EXECUTOR_BASE_URL or LUMIRA_JOB_EXECUTOR_BASE_URL for job executor in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,job executor,job executor,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"JOB_EXECUTOR_BASE_URL;LUMIRA_JOB_EXECUTOR_BASE_URL","Set JOB_EXECUTOR_BASE_URL or LUMIRA_JOB_EXECUTOR_BASE_URL for job executor in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,localization service,localization service,placeholder value is not allowed,placeholder value is not allowed,false,"LOCALIZATION_SERVICE_BASE_URL;LUMIRA_LOCALIZATION_SERVICE_BASE_URL","Set LOCALIZATION_SERVICE_BASE_URL or LUMIRA_LOCALIZATION_SERVICE_BASE_URL for localization service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,localization service,localization service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"LOCALIZATION_SERVICE_BASE_URL;LUMIRA_LOCALIZATION_SERVICE_BASE_URL","Set LOCALIZATION_SERVICE_BASE_URL or LUMIRA_LOCALIZATION_SERVICE_BASE_URL for localization service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,message service,message service,placeholder value is not allowed,placeholder value is not allowed,false,"MESSAGE_SERVICE_BASE_URL;LUMIRA_MESSAGE_SERVICE_BASE_URL","Set MESSAGE_SERVICE_BASE_URL or LUMIRA_MESSAGE_SERVICE_BASE_URL for message service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,message service,message service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"MESSAGE_SERVICE_BASE_URL;LUMIRA_MESSAGE_SERVICE_BASE_URL","Set MESSAGE_SERVICE_BASE_URL or LUMIRA_MESSAGE_SERVICE_BASE_URL for message service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,payment service,payment service,placeholder value is not allowed,placeholder value is not allowed,false,"PAYMENT_SERVICE_BASE_URL;LUMIRA_PAYMENT_SERVICE_BASE_URL","Set PAYMENT_SERVICE_BASE_URL or LUMIRA_PAYMENT_SERVICE_BASE_URL for payment service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,payment service,payment service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"PAYMENT_SERVICE_BASE_URL;LUMIRA_PAYMENT_SERVICE_BASE_URL","Set PAYMENT_SERVICE_BASE_URL or LUMIRA_PAYMENT_SERVICE_BASE_URL for payment service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,plugin service,plugin service,placeholder value is not allowed,placeholder value is not allowed,false,"PLUGIN_SERVICE_BASE_URL;LUMIRA_PLUGIN_SERVICE_BASE_URL","Set PLUGIN_SERVICE_BASE_URL or LUMIRA_PLUGIN_SERVICE_BASE_URL for plugin service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,plugin service,plugin service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"PLUGIN_SERVICE_BASE_URL;LUMIRA_PLUGIN_SERVICE_BASE_URL","Set PLUGIN_SERVICE_BASE_URL or LUMIRA_PLUGIN_SERVICE_BASE_URL for plugin service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,system service,system service,placeholder value is not allowed,placeholder value is not allowed,false,"SYSTEM_SERVICE_BASE_URL;LUMIRA_SYSTEM_SERVICE_BASE_URL","Set SYSTEM_SERVICE_BASE_URL or LUMIRA_SYSTEM_SERVICE_BASE_URL for system service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
P0,release-config,platform-owners,system service,system service,must use HTTPS for production-equivalent evidence,must use HTTPS for production-equivalent evidence,false,"SYSTEM_SERVICE_BASE_URL;LUMIRA_SYSTEM_SERVICE_BASE_URL","Set SYSTEM_SERVICE_BASE_URL or LUMIRA_SYSTEM_SERVICE_BASE_URL for system service in DDD_RELEASE_ENV_FILE or the production-equivalent runtime environment, then rerun `node scripts/ddd-release-config-evidence.mjs`."
