inputOrder,fillOrder,owner,ownerReady,canonicalKey,aliases,group,requirement,status,valueClass,ownerInputReason,secret,requiresOwnerInput,required,httpsRequired,nonLocalRequired,minLength,safeDefaultAvailable,packetPath,handoffPath,collectionGuidance
11,21,platform-events,false,SAAS_JOB_INTERNAL_TOKEN,"SAAS_JOB_INTERNAL_TOKEN;DDD_JOB_INTERNAL_TOKEN;LUMIRA_JOB_INTERNAL_TOKEN",jobs-and-events,job internal token,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,32,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
12,22,platform-events,false,SAAS_JOB_MESSAGE_SERVICE_BASE_URL,"SAAS_JOB_MESSAGE_SERVICE_BASE_URL;LUMIRA_JOB_MESSAGE_SERVICE_BASE_URL",jobs-and-events,job message url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
13,23,platform-events,false,SAAS_JOB_PAYMENT_SERVICE_BASE_URL,"SAAS_JOB_PAYMENT_SERVICE_BASE_URL;LUMIRA_JOB_PAYMENT_SERVICE_BASE_URL",jobs-and-events,job payment url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
14,24,platform-events,false,SAAS_JOB_PLUGIN_SERVICE_BASE_URL,"SAAS_JOB_PLUGIN_SERVICE_BASE_URL;LUMIRA_JOB_PLUGIN_SERVICE_BASE_URL",jobs-and-events,job plugin url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
15,26,platform-events,false,XXL_JOB_ADMIN_ADDRESSES,"XXL_JOB_ADMIN_ADDRESSES;LUMIRA_XXL_JOB_ADMIN_ADDRESSES",jobs-and-events,xxl job admin,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
16,27,platform-events,false,XXL_JOB_ACCESS_TOKEN,"XXL_JOB_ACCESS_TOKEN;XXL_JOB_ADMIN_ACCESS_TOKEN;LUMIRA_XXL_JOB_ACCESS_TOKEN",jobs-and-events,xxl job token,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,32,false,artifacts/ddd/release/release-env-owner-input-packet/01-platform-events.json,artifacts/ddd/release/release-env-owner-handoff-redacted/01-platform-events.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
17,28,platform-owners,false,AI_SERVICE_BASE_URL,"AI_SERVICE_BASE_URL;LUMIRA_AI_SERVICE_BASE_URL;LUMIRA_AI_BASE_URL",owner-services,ai service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
18,29,platform-owners,false,AUTH_SERVICE_BASE_URL,"AUTH_SERVICE_BASE_URL;LUMIRA_AUTH_SERVICE_BASE_URL",owner-services,auth service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
19,30,platform-owners,false,FILE_SERVICE_BASE_URL,"FILE_SERVICE_BASE_URL;LUMIRA_FILE_SERVICE_BASE_URL",owner-services,file service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
20,31,platform-owners,false,JOB_EXECUTOR_BASE_URL,"JOB_EXECUTOR_BASE_URL;LUMIRA_JOB_EXECUTOR_BASE_URL",owner-services,job executor,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
21,32,platform-owners,false,LOCALIZATION_SERVICE_BASE_URL,"LOCALIZATION_SERVICE_BASE_URL;LUMIRA_LOCALIZATION_SERVICE_BASE_URL",owner-services,localization service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
22,33,platform-owners,false,MESSAGE_SERVICE_BASE_URL,"MESSAGE_SERVICE_BASE_URL;LUMIRA_MESSAGE_SERVICE_BASE_URL",owner-services,message service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
23,34,platform-owners,false,PAYMENT_SERVICE_BASE_URL,"PAYMENT_SERVICE_BASE_URL;LUMIRA_PAYMENT_SERVICE_BASE_URL",owner-services,payment service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
24,35,platform-owners,false,PLUGIN_SERVICE_BASE_URL,"PLUGIN_SERVICE_BASE_URL;LUMIRA_PLUGIN_SERVICE_BASE_URL",owner-services,plugin service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
25,36,platform-owners,false,SYSTEM_SERVICE_BASE_URL,"SYSTEM_SERVICE_BASE_URL;LUMIRA_SYSTEM_SERVICE_BASE_URL",owner-services,system service,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/02-platform-owners.json,artifacts/ddd/release/release-env-owner-handoff-redacted/02-platform-owners.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
26,37,release-infra,false,LUMIRA_BASE_URL,"LUMIRA_BASE_URL;DEPLOY_CHECK_BASE_URL",runtime,backend base url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
27,38,release-infra,false,CORS_ALLOWED_ORIGIN_PATTERNS,"CORS_ALLOWED_ORIGIN_PATTERNS;SAAS_WEB_CORS_ALLOWED_ORIGIN_PATTERNS",runtime,cors origins,PLACEHOLDER,identifier,owner-production-value,false,true,true,false,false,,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,Collect the production value from the owning release context.
28,39,release-infra,false,DB_PASSWORD,"DB_PASSWORD;SPRING_DATASOURCE_PASSWORD;MYSQL_PASSWORD",runtime,database password,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,16,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
29,40,release-infra,false,DB_URL,"DB_URL;SPRING_DATASOURCE_URL",runtime,database url,PLACEHOLDER,url,production-endpoint,false,true,true,false,true,,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
30,41,release-infra,false,DB_USERNAME,"DB_USERNAME;SPRING_DATASOURCE_USERNAME;MYSQL_USER",runtime,database username,PLACEHOLDER,identifier,owner-production-value,false,true,true,false,false,,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,Collect the production value from the owning release context.
31,42,release-infra,false,FIELD_SECRET,"FIELD_SECRET;SAAS_SECURITY_FIELD_SECRET",runtime,field secret,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,32,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
32,43,release-infra,false,PLAYWRIGHT_BASE_URL,"PLAYWRIGHT_BASE_URL;FRONTEND_BASE_URL",runtime,frontend base url,PLACEHOLDER,url,production-endpoint,false,true,true,true,true,,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
33,44,release-infra,false,JWT_SECRET,"JWT_SECRET;SAAS_SECURITY_JWT_SECRET",runtime,jwt secret,PLACEHOLDER,secret,secret-manager,true,true,true,false,false,32,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,"Collect through the approved secret manager or secure release channel; do not paste values into chat, commits, or artifacts."
34,45,release-infra,false,REDIS_HOST,"REDIS_HOST;SPRING_DATA_REDIS_HOST",runtime,redis host,PLACEHOLDER,identifier,production-endpoint,false,true,true,false,true,,false,artifacts/ddd/release/release-env-owner-input-packet/03-release-infra.json,artifacts/ddd/release/release-env-owner-handoff-redacted/03-release-infra.md,Collect the production-equivalent HTTPS endpoint from the owning runtime or deployment platform.
